*SoftWare Version 3.0  2018/12/27

*HEADER
     PLATFORM NUMBER       :6903766
     CYCLE NUMBER          :005
     DATE CREATION         :20191223063223
     DATE UPDATE           :20191223063227
     PROJECT NAME          :Argo Italy
     PI NAME               :Pierre-Marie Poulain
     INSTRUMENT TYPE       :ARVOR
     FLOAT SERIAL NO       :AI2600-19EU001
     FIRMWARE VERSION      :5900A04
     WMO INSTRUMENT TYPE   :844
     TRANSMISSION SYSTEM   :IRIDIUM
     POSITIONING SYSTEM    :GPS
     SAMPLE DIRECTION      :A(A=Ascend; D=Descend)
     DATA MODE             :R(R=Real Time; D=Delayed Mode; A=Real Time Adjusted)
     JULIAN DAY            :25558.2476 (days since 1950-01-01 00:00:00 UTC)
     DATE                  :2019-12-23
     QC FLAG FOR DATE      :1
*LOCATION
     LATITUDE              :42.916  
     LONGITUDE             :29.274  
     QC FLAG FOR LOCATION  :1
*FILE
     COLUMN 1              :Pressure (dbar)                             F7.1
     COLUMN 2              :Corrected Pressure (dbar)                   F7.1
     COLUMN 3              :Quality on Pressure                         I3
     COLUMN 4              :Temperature (degree_Celsius)                F9.3
     COLUMN 5              :Corrected Temperature (degree_Celsius)      F9.3
     COLUMN 6              :Quality on Temperature                      I3
     COLUMN 7              :Salinity (PSU)                              F9.3
     COLUMN 8              :Corrected Salinity (PSU)                    F9.3
     COLUMN 9              :Quality on Salinity                         I3
==========================================================================
  505.5  505.5  1    8.892    8.892  1   22.057   22.057  1
  515.9  515.9  1    8.893    8.893  1   22.067   22.067  1
  525.6  525.6  1    8.895    8.895  1   22.073   22.073  1
  535.7  535.7  1    8.896    8.896  1   22.078   22.078  1
  545.6  545.6  1    8.896    8.896  1   22.085   22.085  1
  555.6  555.6  1    8.897    8.897  1   22.093   22.093  1
  565.5  565.5  1    8.898    8.898  1   22.101   22.101  1
  575.6  575.6  1    8.899    8.899  1   22.109   22.109  1
  585.7  585.7  1    8.899    8.899  1   22.119   22.119  1
  595.6  595.6  1    8.899    8.899  1   22.130   22.130  1
  605.3  605.3  1    8.900    8.900  1   22.136   22.136  1
  615.1  615.1  1    8.902    8.902  1   22.142   22.142  1
  625.1  625.1  1    8.903    8.903  1   22.147   22.147  1
  635.3  635.3  1    8.903    8.903  1   22.152   22.152  1
  645.6  645.6  1    8.905    8.905  1   22.155   22.155  1
  655.5  655.5  1    8.906    8.906  1   22.159   22.159  1
  665.4  665.4  1    8.907    8.907  1   22.165   22.165  1
  675.4  675.4  1    8.908    8.908  1   22.169   22.169  1
  685.7  685.7  1    8.910    8.910  1   22.172   22.172  1
  695.6  695.6  1    8.911    8.911  1   22.174   22.174  1
  712.6  712.6  1    8.913    8.913  1   22.182   22.182  1
  738.1  738.1  1    8.915    8.915  1   22.195   22.195  1
